TimeStamp,Region,Site,Bandwidth,Availabulity,Packet Loss
2023-09-21 20:30:42,Australia,Site_E,688.75,94.05,3.82
2023-03-09 13:35:00,South America,Site_B,346.21,92.19,4.29
2023-10-31 12:38:26,South America,Site_B,725.44,95.35,1.3
2023-01-01 05:24:57,Europe,Site_A,443.13,95.49,4.55
2023-05-15 01:36:32,Europe,Site_B,116.58,96.27,1.26
2023-05-30 08:06:10,North America,Site_D,397.89,97.12,0.16
2023-08-19 11:10:50,North America,Site_C,174.21,93.98,3.27
2023-03-08 15:15:11,South America,Site_C,983.93,90.83,3.54
2023-03-30 14:04:33,North America,Site_A,909.07,97.45,0.21
2023-10-12 11:51:43,Australia,Site_C,960.04,98.21,0.91
2023-06-04 14:56:44,Australia,Site_C,60.69,99.47,4.67
2023-12-14 01:40:05,North America,Site_B,599.72,96.22,0.89
2023-05-18 18:53:32,South America,Site_B,699.88,96.85,1.72
2023-12-27 08:35:19,North America,Site_E,303.71,93.89,3.66
2023-06-25 16:37:04,Europe,Site_A,256.72,90.21,0.8
2023-04-15 09:07:39,Europe,Site_A,390.11,99.81,3.58
2023-04-29 02:03:09,Australia,Site_A,595.34,92.94,1.47
2023-03-18 01:34:19,Africa,Site_D,889.78,93.92,1.23
2023-12-09 05:27:01,Europe,Site_D,927.98,93.68,2.78
2023-08-23 00:34:27,Asia,Site_D,263.56,95.37,0.94
2023-03-04 14:08:31,Australia,Site_B,345.1,94.43,2.08
2023-10-27 06:43:55,North America,Site_D,811.52,90.61,3.2
2023-11-12 16:43:09,North America,Site_B,762.4,94.25,1.58
2023-12-16 23:44:58,Australia,Site_B,722.1,96.1,0.85
2023-07-27 23:35:31,Asia,Site_B,577.8,99.53,2.32
2023-10-17 05:39:32,Asia,Site_E,118.97,94.15,1.89
2023-11-27 04:24:55,South America,Site_A,698.05,91.97,3.46
2023-12-03 23:05:41,Australia,Site_A,990.39,91.64,3.3
2023-08-17 05:53:28,Australia,Site_D,54.95,90.22,2.25
2023-12-21 01:33:43,North America,Site_A,128.18,94.38,3.25
2023-08-20 07:39:39,North America,Site_E,909.09,94.47,2.13
2023-10-11 22:35:40,Europe,Site_C,962.03,91.9,2.7
2023-09-14 08:48:37,South America,Site_D,691.89,94.43,0.73
2023-10-10 16:43:56,South America,Site_E,926.46,98.67,0.01
2023-11-11 03:17:42,Europe,Site_D,296.42,96.67,1.12
2023-12-01 09:03:35,Africa,Site_A,862.39,98.36,0.56
2023-08-08 20:23:54,Africa,Site_A,554.62,92.18,3.93
2023-09-03 02:06:02,South America,Site_B,283.67,99.19,1.24
2023-05-11 09:00:58,South America,Site_E,821.26,95.62,0.5
2023-01-17 03:39:52,Europe,Site_C,516.75,95.61,0.29
2023-08-04 11:48:46,Asia,Site_A,292.17,95.73,2.19
2023-03-01 12:36:40,South America,Site_D,328.37,90.87,1.69
2023-07-08 08:27:14,Australia,Site_B,73.99,90.35,0.23
2023-02-21 04:17:19,Asia,Site_E,359.39,98.99,1.38
2023-10-12 00:19:03,North America,Site_A,213.71,95.28,3.92
2023-08-26 04:08:18,Asia,Site_C,978.97,99.59,0.22
2023-01-02 09:17:55,Europe,Site_A,57.64,92.7,4.0
2023-09-01 01:41:08,North America,Site_D,704.53,94.68,2.13
2023-01-02 06:34:46,North America,Site_C,368.49,99.07,0.28
2023-06-04 19:34:24,North America,Site_D,657.95,95.53,3.07
2023-04-08 10:40:26,South America,Site_D,280.21,91.14,1.07
2023-06-09 20:42:53,Australia,Site_C,361.99,93.42,2.75
2023-05-19 16:57:41,Australia,Site_D,596.91,95.65,3.62
2023-10-24 11:34:54,South America,Site_D,591.67,90.91,3.72
2023-06-21 03:19:16,Asia,Site_E,184.43,91.73,1.1
2023-11-29 08:41:39,Asia,Site_E,828.32,93.8,4.04
2023-01-16 05:45:35,Europe,Site_B,937.18,95.87,2.05
2023-12-04 00:03:03,Australia,Site_C,565.46,98.84,2.59
2023-05-23 00:48:45,Asia,Site_B,84.76,92.17,2.79
2023-07-28 22:41:35,Asia,Site_C,878.04,95.42,0.32
2023-03-03 22:07:42,Europe,Site_E,616.3,91.83,3.75
2023-10-08 20:52:21,Asia,Site_D,702.8,90.83,3.88
2023-07-27 02:53:44,Africa,Site_C,579.74,98.99,2.26
2023-07-21 22:35:50,Europe,Site_A,914.7,95.43,1.47
2023-01-20 17:08:55,South America,Site_D,451.83,92.42,4.13
2023-08-29 13:52:52,Australia,Site_C,873.95,95.6,3.61
2023-10-14 19:12:01,Australia,Site_E,430.22,93.73,0.54
2023-04-17 19:08:45,Asia,Site_D,388.41,94.16,3.99
2023-04-08 11:43:41,Australia,Site_C,160.77,91.86,4.79
2023-09-02 06:48:12,Africa,Site_C,839.45,98.09,4.82
